STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,WESF,WESF_ATTRIBUTES
US1NCBC0087,10/16/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",30,",,N",,,,,,,,,,
US1NCBC0087,10/17/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",5,",,N",,,,,,,,,,
US1NCBC0087,10/20/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,3,",,N",3,",,N",,
US1NCBC0087,10/21/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",10,",,N",,,,,,,,,,
US1NCBC0087,10/22/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,"T,,N",,,,,,,,,,
US1NCBC0087,10/23/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,10/24/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,"T,,N",,,,,,,,,,
US1NCBC0087,10/25/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,10/26/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,10/27/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,10/29/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,10/30/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,10/31/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,11/1/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",20,",,N",,,,,,,,,,
US1NCBC0087,11/2/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",3,",,N",,,,,,,,,,
US1NCBC0087,11/3/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,11/4/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,"T,,N",,,,,,,,,,
US1NCBC0087,11/5/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",3,",,N",,,,,,,,,,
US1NCBC0087,11/6/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,11/11/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,5,",,N",0,",,N",,
US1NCBC0087,11/12/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,11/15/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,11/16/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,11/17/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",320,",,N",,,,,,,,,,
US1NCBC0087,11/18/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,11/22/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,2,",,N",0,",,N",,
US1NCBC0087,11/26/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,4,",,N",671,",,N",,
US1NCBC0087,11/28/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,2,",,N",5,",,N",,
US1NCBC0087,11/30/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,"T,,N",,,,,,,,,,
US1NCBC0087,12/1/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,"T,,N",,,,,,,,,,
US1NCBC0087,12/2/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",3,",,N",,,,,,,,,,
US1NCBC0087,12/4/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,2,",,N",0,"T,,N",,
US1NCBC0087,12/5/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",23,",,N",,,,,,,,,,
US1NCBC0087,12/8/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,3,",,N",48,",,N",,
US1NCBC0087,12/9/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",5,",,N",,,,,,,,,,
US1NCBC0087,12/10/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,"T,,N",,,,,,,,,,
US1NCBC0087,12/11/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,12/12/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,12/13/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,12/16/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",38,",,N",,,,,,,,,,
US1NCBC0087,12/17/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,"T,,N",,,,,,,,,,
US1NCBC0087,12/18/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,12/19/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,12/22/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,3,",,N",18,",,N",,
US1NCBC0087,12/23/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",46,",,N",,,,,,,,,,
US1NCBC0087,12/24/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",361,",,N",,,,,,,,,,
US1NCBC0087,12/25/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",20,",,N",,,,,,,,,,
US1NCBC0087,12/26/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,12/28/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",13,",,N",,,,,,,,,,
US1NCBC0087,12/29/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",107,",,N",,,,,,,,,,
US1NCBC0087,12/30/2014,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",33,",,N",,,,,,,,,,
US1NCBC0087,1/1/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,2,",,N",5,",,N",,
US1NCBC0087,1/2/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,1/3/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",53,",,N",,,,,,,,,,
US1NCBC0087,1/4/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",445,",L,N",,,,,,,,,,
US1NCBC0087,1/6/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,3,",L,N",5,",L,N",,
US1NCBC0087,1/7/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,1/8/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,1/10/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,1/12/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",56,",,N",,,,,,,,,,
US1NCBC0087,1/13/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",23,",,N",,,,,,,,,,
US1NCBC0087,1/14/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",10,",,N",,,,,,,,,,
US1NCBC0087,1/16/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,2,",,N",3,",,N",,
US1NCBC0087,1/17/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,2,",L,N",0,",L,N",,
US1NCBC0087,1/18/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,2,",L,N",0,",L,N",,
US1NCBC0087,1/19/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,1/20/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,1/21/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,1/23/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,2,",L,N",,,,
US1NCBC0087,1/24/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",157,",,N",,,,,,,,,,
US1NCBC0087,1/25/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,1/26/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",3,",,N",,,,,,,,,,
US1NCBC0087,1/28/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,2/2/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",183,",,N",,,,,,,,,,
US1NCBC0087,2/3/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,2/6/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,2,",,N",0,"T,,N",,
US1NCBC0087,2/7/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,2/8/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,2/9/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,"T,,N",,,,,,,,,,
US1NCBC0087,2/10/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",71,",,N",,,,,,,,,,
US1NCBC0087,2/11/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,2/12/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",3,",,N",,,,,,,,,,
US1NCBC0087,2/13/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,2/19/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,2,",,N",0,",,N",,
US1NCBC0087,2/20/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,2/21/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,2/22/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",43,",,N",,,,,,,,,,
US1NCBC0087,2/23/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",5,",,N",,,,,,,,,,
US1NCBC0087,3/4/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,6,",,N",170,",,N",,
US1NCBC0087,3/5/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",41,",,N",,,,,,,,,,
US1NCBC0087,3/9/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,6110,",L,N",56,",L,N",,
US1NCBC0087,3/10/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",25,",,N",,,,,,,,,,
US1NCBC0087,3/11/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",5,",,N",,,,,,,,,,
US1NCBC0087,3/12/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",20,",,N",,,,,,,,,,
US1NCBC0087,3/13/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",10,",,N",,,,,,,,,,
US1NCBC0087,3/14/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",107,",,N",,,,,,,,,,
US1NCBC0087,3/15/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",8,",,N",,,,,,,,,,
US1NCBC0087,3/16/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",L,N",0,",,N",,,,,,,,
US1NCBC0087,3/17/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",L,N",0,",,N",,,,,,,,
US1NCBC0087,3/23/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,8,",L,N",173,",L,N",,
US1NCBC0087,3/24/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",3,",,N",,,,,,,,,,
US1NCBC0087,3/25/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,"T,,N",,,,,,,,,,
US1NCBC0087,3/26/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",20,",,N",,,,,,,,,,
US1NCBC0087,3/27/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",20,",,N",,,,,,,,,,
US1NCBC0087,3/28/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",18,",,N",,,,,,,,,,
US1NCBC0087,3/29/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",5,",,N",,,,,,,,,,
US1NCBC0087,3/30/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",71,",,N",,,,,,,,,,
US1NCBC0087,3/31/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,4/1/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,4/2/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,4/3/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",36,",,N",,,,,,,,,,
US1NCBC0087,4/4/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",102,",,N",,,,,,,,,,
US1NCBC0087,4/5/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",5,",,N",,,,,,,,,,
US1NCBC0087,4/6/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,4/7/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",152,",,N",,,,,,,,,,
US1NCBC0087,4/8/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",107,",,N",,,,,,,,,,
US1NCBC0087,4/11/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,3,",,N",5,",,N",,
US1NCBC0087,4/14/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",99,",,N",,,,,,,,,,
US1NCBC0087,4/17/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,3,",,N",361,",,N",,
US1NCBC0087,4/20/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,3,",,N",378,",,N",,
US1NCBC0087,4/21/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",5,",,N",,,,,,,,,,
US1NCBC0087,4/22/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,4/23/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",8,",,N",,,,,,,,,,
US1NCBC0087,4/26/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,3,",,N",64,",,N",,
US1NCBC0087,4/27/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",5,",,N",,,,,,,,,,
US1NCBC0087,4/28/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,5/1/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",5,",,N",,,,,,,,,,
US1NCBC0087,5/2/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,5/3/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,5/4/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,5/5/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,5/6/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,5/7/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,5/8/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,5/9/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,5/10/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,5/11/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",18,",,N",,,,,,,,,,
US1NCBC0087,5/12/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",178,",,N",,,,,,,,,,
US1NCBC0087,5/13/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,"T,,N",,,,,,,,,,
US1NCBC0087,5/14/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,5/15/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,5/16/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",56,",,N",,,,,,,,,,
US1NCBC0087,5/17/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",3,",,N",,,,,,,,,,
US1NCBC0087,5/18/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,5/20/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",28,",,N",,,,,,,,,,
US1NCBC0087,5/21/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",3,",,N",,,,,,,,,,
US1NCBC0087,5/22/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,5/23/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,5/24/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,5/25/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,5/26/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",28,",,N",,,,,,,,,,
US1NCBC0087,5/27/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",89,",,N",,,,,,,,,,
US1NCBC0087,5/28/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,5/29/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",5,",,N",,,,,,,,,,
US1NCBC0087,5/30/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",3,",,N",,,,,,,,,,
US1NCBC0087,5/31/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,6/1/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",102,",,N",,,,,,,,,,
US1NCBC0087,6/2/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",109,",,N",,,,,,,,,,
US1NCBC0087,6/3/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",8,",,N",,,,,,,,,,
US1NCBC0087,6/4/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",3,",,N",,,,,,,,,,
US1NCBC0087,6/5/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",15,",,N",,,,,,,,,,
US1NCBC0087,6/6/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",5,",,N",,,,,,,,,,
US1NCBC0087,6/9/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,3,",,N",831,",,N",,
US1NCBC0087,6/19/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",,,,,,,10,",,N",175,",,N",,
US1NCBC0087,6/20/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",142,",,N",,,,,,,,,,
US1NCBC0087,6/21/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",3,",,N",,,,,,,,,,
US1NCBC0087,6/22/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",5,",,N",,,,,,,,,,
US1NCBC0087,6/23/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",20,",,N",,,,,,,,,,
US1NCBC0087,6/24/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",3,",,N",,,,,,,,,,
US1NCBC0087,6/25/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,6/26/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,6/27/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
US1NCBC0087,6/28/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",135,",,N",,,,,,,,,,
US1NCBC0087,6/29/2015,35.479675,-82.284756,624.2,"BAT CAVE 1.9 N, NC US",0,",,N",0,",,N",,,,,,,,
